Date : 2025-03-06 15:45:46
Directory : /home/kid-a/homeworks/compiler/lab1
Total : 1013 files,  130883 codes, 6244 comments, 21489 blanks, all 158616 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        551 |     86,067 |      1,625 |     14,801 |    102,493 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203214.l                  | Lex          |        140 |          0 |         12 |        152 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203225.l                  | Lex          |        140 |          0 |         12 |        152 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203232.l                  | Lex          |        140 |          0 |         12 |        152 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203256.l                  | Lex          |        142 |          0 |         12 |        154 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203302.l                  | Lex          |        142 |          0 |         12 |        154 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203303.l                  | Lex          |        142 |          0 |         12 |        154 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203308.l                  | Lex          |        142 |          0 |         12 |        154 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203309.l                  | Lex          |        142 |          0 |         12 |        154 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203324.l                  | Lex          |        142 |          0 |         13 |        155 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203330.l                  | Lex          |        143 |          0 |         12 |        155 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203335.l                  | Lex          |        143 |          0 |         12 |        155 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203338.l                  | Lex          |        143 |          0 |         12 |        155 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203343.l                  | Lex          |        143 |          0 |         12 |        155 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203345.l                  | Lex          |        143 |          0 |         12 |        155 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203410.l                  | Lex          |        144 |          0 |         12 |        156 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203616.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203619.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203622.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203624.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203631.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203643.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203646.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305214436.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305215947.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305215953.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220001.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220003.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220030.l                  | Lex          |        145 |          0 |         13 |        158 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220032.l                  | Lex          |        145 |          0 |         12 |        157 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220038.l                  | Lex          |        146 |          0 |         12 |        158 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220049.l                  | Lex          |        146 |          0 |         12 |        158 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220054.l                  | Lex          |        146 |          0 |         12 |        158 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220057.l                  | Lex          |        146 |          0 |         12 |        158 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220100.l                  | Lex          |        146 |          0 |         12 |        158 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220115.l                  | Lex          |        147 |          0 |         12 |        159 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220119.l                  | Lex          |        147 |          0 |         12 |        159 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220805.l                  | Lex          |        147 |          0 |         12 |        159 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220807.l                  | Lex          |        147 |          0 |         12 |        159 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220810.l                  | Lex          |        147 |          0 |         12 |        159 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305220949.l                  | Lex          |        148 |          0 |         12 |        160 |
